V2
TMSB10
YBX1
GSTP1
GABRP
XBP1
MAGED2
GATA3
CCND1
STC2
SLPI
KRT7
S100A8
S100A7
PIP
TFF3
TFF1
S100A9
NPY1R
COX6C
CLEC3A
SAA1
S100A6
RN7SL1
